not wear,[0, 2, 0, 2, 1]
maybe,[5, 10, 20, 15, 10]
silkiness,[0, 0, 0, 0, 1]
wish,[13, 6, 17, 33, 41]
non-fancy,[0, 0, 0, 1, 0]
not easiest apply,[0, 0, 1, 0, 0]
not get paid,[1, 0, 0, 0, 0]
cool-toned,[0, 0, 0, 0, 2]
tickled,[0, 0, 0, 0, 1]
coupled,[0, 0, 1, 0, 0]
not as durable,[0, 0, 1, 0, 0]
not too impressed,[0, 1, 3, 0, 0]
aspiring,[0, 0, 0, 0, 1]
run,[0, 0, 1, 1, 3]
install,[0, 0, 0, 0, 2]
some-,[0, 0, 1, 0, 0]
copying,[0, 0, 0, 0, 1]
self-tanning,[0, 0, 0, 0, 1]
mary,[0, 0, 0, 0, 1]
not let is,[0, 0, 0, 0, 1]
aweful,[2, 2, 0, 1, 0]
niece,[0, 0, 0, 0, 1]
not believe worked,[0, 0, 0, 1, 2]
year,[0, 0, 0, 0, 2]
compact,[1, 0, 2, 2, 11]
resurfacing,[0, 0, 1, 0, 2]
perfume-y,[0, 1, 0, 0, 1]
massaging,[0, 0, 0, 1, 0]
cowashing,[0, 0, 0, 1, 3]
paint..not,[1, 0, 0, 0, 0]
not natural,[4, 2, 3, 1, 0]
medium-thick,[0, 0, 0, 0, 2]
not like putting,[0, 0, 0, 0, 1]
spots,[0, 0, 0, 0, 1]
not entirely eliminate,[0, 0, 0, 1, 0]
slse,[0, 0, 0, 0, 1]
blue-based,[0, 0, 0, 0, 1]
not deliver,[1, 1, 1, 0, 1]
not know use,[0, 0, 0, 0, 1]
strongly,[0, 2, 3, 0, 1]
sticking,[0, 0, 1, 0, 2]
omg,[0, 0, 0, 0, 1]
eucerin,[1, 0, 1, 0, 0]
not same pictured,[0, 0, 0, 0, 1]
patient,[0, 0, 0, 3, 6]
fruitly,[0, 0, 0, 0, 1]
old-fashioned,[0, 0, 1, 0, 0]
amodimithicone,[0, 1, 0, 0, 0]
wrapped,[0, 0, 0, 0, 1]
moisturizes,[0, 0, 1, 2, 6]
not care 's,[0, 0, 0, 0, 1]
deminishing,[0, 0, 0, 0, 1]
refined,[0, 0, 0, 0, 2]
not do your,[0, 0, 0, 0, 1]
coolest,[0, 0, 0, 0, 2]
not detangle,[0, 0, 1, 0, 0]
middle-aged,[0, 0, 0, 1, 1]
pain,[1, 0, 0, 0, 1]
secret,[0, 1, 1, 3, 13]
not let first,[0, 0, 0, 1, 1]
not fake 's,[0, 0, 1, 0, 0]
not beat ivory,[0, 0, 0, 1, 0]
not save looked,[0, 0, 0, 1, 0]
lipstick-paraben,[0, 0, 0, 0, 1]
fundamental,[0, 0, 0, 0, 1]
not greasy perfect,[0, 0, 0, 0, 2]
glowing,[0, 0, 0, 0, 14]
keep,[2, 1, 7, 22, 44]
shaving,[0, 0, 1, 0, 2]
point-a,[0, 0, 0, 1, 0]
retinyl,[1, 0, 0, 0, 0]
not quite,[0, 0, 0, 1, 0]
not totally grease-free,[0, 0, 0, 1, 0]
age-related,[0, 0, 0, 0, 1]
not so sure,[0, 1, 5, 4, 0]
tame,[1, 0, 1, 1, 5]
*is*,[0, 0, 0, 1, 0]
dandruff,[0, 0, 1, 1, 0]
disappointingly,[0, 1, 0, 0, 0]
cover,[1, 0, 1, 3, 3]
discussing,[0, 0, 0, 1, 0]
palette-awesome,[0, 0, 0, 0, 1]
hot-,[0, 0, 0, 1, 0]
la,[0, 0, 0, 1, 0]
not cruelty-free,[1, 0, 0, 0, 0]
radiant,[0, 0, 0, 1, 6]
not be viviscal,[0, 0, 0, 0, 1]
***,[0, 0, 1, 0, 4]
=,[3, 1, 1, 0, 7]
need,[2, 2, 21, 28, 62]
sceptic,[0, 0, 0, 0, 1]
handles,[0, 0, 0, 1, 0]
needled,[0, 0, 0, 0, 1]
prescribed,[0, 4, 0, 0, 0]
not know 's,[0, 0, 1, 0, 0]
enticing,[0, 0, 0, 0, 1]
adds,[0, 0, 0, 5, 12]
unevenly,[1, 0, 2, 0, 0]
misleading,[8, 6, 4, 3, 2]
not favorite real,[0, 0, 0, 1, 0]
not appreciate,[0, 0, 0, 0, 1]
fun,[0, 0, 1, 4, 6]
wearable,[0, 0, 0, 1, 3]
not justify,[1, 0, 1, 0, 0]
not favorite,[0, 6, 12, 8, 1]
not live solar,[0, 0, 0, 0, 1]
not nauseating,[0, 0, 0, 1, 0]
update-bought,[0, 0, 0, 0, 1]
stars,[2, 0, 0, 0, 5]
however,[0, 1, 2, 5, 5]
not so effective,[1, 0, 0, 0, 0]
soon,[0, 0, 2, 5, 6]
changes,[0, 0, 0, 0, 1]
perkier,[0, 0, 0, 0, 1]
unable,[0, 0, 0, 1, 0]
flowery,[1, 0, 1, 1, 1]
intermediate,[0, 0, 0, 0, 1]
not thrilled,[1, 2, 2, 1, 0]
not throw,[0, 0, 0, 1, 0]
deeply,[0, 0, 0, 0, 3]
not feel is,[0, 1, 1, 0, 0]
gradual,[0, 0, 0, 3, 1]
unsightly,[0, 0, 0, 0, 1]
recommend,[0, 1, 5, 13, 39]
questionable,[1, 2, 3, 1, 0]
matted,[1, 0, 0, 0, 0]
apprecate,[0, 0, 0, 1, 0]
meaning,[0, 0, 0, 0, 1]
removes,[0, 0, 0, 3, 6]
dramatically,[0, 0, 1, 1, 2]
not let bad,[0, 0, 0, 0, 1]
sounding,[0, 1, 0, 0, 0]
not bad was,[0, 0, 1, 0, 0]
willing,[0, 0, 0, 2, 0]
not so peaceful,[0, 0, 1, 0, 0]
lifting,[0, 0, 1, 0, 2]
not auntie,[0, 0, 0, 0, 1]
not fat humid,[0, 0, 1, 0, 0]
not seal,[1, 0, 0, 0, 0]
elsewhere,[2, 1, 2, 3, 4]
floral,[0, 0, 1, 2, 6]
torn,[0, 0, 1, 0, 0]
required,[0, 2, 1, 1, 1]
utter,[1, 1, 0, 0, 0]
not hate did,[0, 0, 1, 0, 0]
nifty,[0, 0, 0, 0, 3]
not look greasy,[0, 0, 1, 0, 0]
allergenic,[0, 0, 1, 0, 0]
giving,[0, 1, 0, 2, 9]
dependable,[0, 0, 1, 0, 2]
expired,[5, 2, 0, 1, 0]
flirty,[0, 0, 0, 1, 0]
not good bought,[0, 0, 1, 0, 0]
oily/sensitive,[0, 0, 0, 1, 0]
not same authorized,[0, 0, 1, 0, 0]
not expect vanish,[0, 0, 0, 1, 0]
contouring,[0, 0, 1, 2, 4]
skipped,[0, 0, 0, 0, 1]
fail,[0, 1, 0, 0, 1]
multipurpose,[0, 0, 0, 1, 2]
not fix,[0, 1, 0, 0, 0]
lacking,[0, 0, 4, 0, 1]
flavorful,[0, 0, 0, 1, 0]
not different other,[0, 0, 1, 0, 0]
